cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Masaryk, Tomáš Garrigue",1850-1937,56651696,jk01080472,1850,1937,1880,,
"Matoušek, Ivan",1948-,73985070,jn19981001825,1948,,1991,,
"Mazálek, Vladimír",1883-1956,83823878,jk01080985,1883,1956,1923,,
"Medek, Rudolf",1890-1940,25955120,jk01081030,1890,1940,1912,,
"Menzel, Josef",1901-1975,25095273,jk01081261,1901,1975,1949,,
"Měrka, Petr",1979-,39171481,xx0062230,1979,,2007,,
"Mertl, Věroslav",1929-2013,20489897,jk01081313,1929,2013,1969,,
"Michal, Karel",1932-1984,25096219,jk01081425,1932,1984,1961,,
"Mikeš, Petr",1948-2016,69085178,jn19990218068,1948,2016,1996,,
"Míková, Marka",1959-,8556351,ola2002158889,1959,,2001,,
"Mikuláš, Jaroslav",1870-1952,83828421,jk01081616,1870,1952,1891,,
"Mikulášek, Oldřich",1910-1985,77700055,jk01081628,1910,1985,1931,,
"Mikulka, Alois",1933-,96706929,jk01081647,1933,,1961,,
"Miler, Zdeněk",1921-2011,2958781,jk01081695,1921,2011,1958,,
"Mixa, Vojtěch",1887-1953,73450938,jk01081856,1887,1953,1920,,
"Moravcová, Jana",1937-,57024276,jk01082033,1937,,1969,,
"Motlová, Milada",1945-,84114575,jo20000075570,1945,,1994,,
"Mrázková, Daisy",1923-,96707055,jk01082288,1923,,1965,,
"Mrázová, Alena",1958-,85380646,xx0012505,1958,,2007,,
"Mrštík, Alois",1861-1925,3276067,jk01082329,1861,1925,1893,,
"Mucha, Jiří",1915-1991,19681880,jk01082373,1915,1991,1931,,
"Wernisch, Michal",1964-,41338519,jn19992000746,1964,,1992,,
"Myšková, Ivana",1981-,84154013,jo2003190766,1981,,2012,,
"Nauman, Pavel",1907-1976,83836090,jk01082725,1907,1976,1942,,
"Neff, Vladimír",1909-1983,40174449,jk01082908,1909,1983,1933,,
"Nekola, Rudolf",1901-1969,83837886,jk01082989,1901,1969,1935,,
"Němcová, Božena",1820-1862,56763450,jk01083016,1820,1862,1845,,
"Němec, Jan",1981-,108102183,xx0029257,1981,,2007,,
"Němec, Tomáš",1976-,85402776,xx0016196,1976,,1994,,
"Němeček, Zdeněk",1894-1957,14903572,jk01083150,1894,1957,1920,,
"Nenadál, Radoslav",1929-2018,69343474,jk01083165,1929,2018,1953,,
"Neomillnerová, Petra",1970-,84170885,jo2005267829,1970,,2006,,
"Nepil, František",1929-1995,3344486,jk01083177,1929,1995,1963,,
"Neruda, Jan",1834-1891,41915819,jk01083209,1834,1891,1858,,
"Nesvadba, Josef",1926-2005,98084568,jk01083232,1926,2005,1954,,
"Nesvadbová, Barbara",1975-,2087322,jn99240000759,1975,,1997,,
"Neumann, Stanislav Kostka",1875-1947,27863744,jk01090079,1875,1947,1895,,
"Nezval, Vítězslav",1900-1958,7402030,jk01090162,1900,1958,1920,,
"Nikl, Petr",1960-,59973278,jn99240000770,1960,,1998,,
"Nohavica, Jaromír",1953-,83999293,jn19990209588,1953,,1974,,
"Nor, A.C.",1903-1986,114463286,xx0041070,1903,1986,0,,
"Nosková, Věra",1947-,36492572,jn20000401868,1947,,1988,,
"Novák, Jan",1953-,94397506,jn19990209593,1953,,1983,,
"Novák, Ladislav",1925-1999,12627174,jk01090477,1925,1999,1942,,
"Nováková, Teréza",1853-1912,33034658,jk01090594,1853,1912,1885,,
"Novotný, David Jan",1947-,36289601,jk01090652,1947,,1981,,
"Nový, Karel",1890-1980,102460570,jk01090808,1890,1980,1919,,
"Obermannová, Irena",1962-,53809971,jk01090889,1962,,1996,,
"Ochová, Sheila",1940-1999,41986269,jk01090998,1940,1999,1965,,
"Olbracht, Ivan",1882-1952,7423797,jk01091013,1882,1952,1913,,
"Olša, Jaroslav",1964-,51843356,ola2003169770,1964,,1990,,
"Omelka, František",1904-1960,304286843,jk01091088,1904,1960,1935,,
"Orlová, Zuzana",1980-,84513856,mzk2002108038,1980,,1998,,
"Orten, Jiří",1919-1941,24101,jk01091274,1919,1941,1946,,
"Osers, Ewald",1917-2011,32080168,jo20000075448,1917,2011,1986,,
"Otčenášek, Jan",1924-1979,49644726,jk01091352,1924,1979,1949,,
"Oulehla, Milan",1958-,103108215,mzk2009544182,1958,,2009,,
"Ouředník, Patrik",1957-,51719234,jn99240000828,1957,,1992,,
"Palečková, Libuše",1937-,54952351,jk01091572,1937,,1975,,
"Palkovský, Břetislav",1888-1978,40373792,jk01091596,1888,1978,1923,,
"Palla, Marian",1953-,96707967,jn19990218082,1953,,1996,,
"Papoušek, Jaroslav",1929-1995,42216537,jk01091733,1929,1995,1965,,
"Páral, Vladimír",1932-,113341183,jk01091743,1932,,1964,,
"Pařízek, Ladislav Mikeš",1907-1988,23291962,jk01091804,1907,1988,1940,,
"Pašek, Mirko",1910-2002,17728389,jk01091848,1910,2002,1940,,
"Pásek, Pavel",1921-2000,83852156,jk01091813,1921,2000,1951,,
"Pavel, Jan",1973-,20913690,jn99240000844,1973,,1993,,
"Pavel, Ota",1930-1973,24683380,jk01092027,1930,1973,1964,,
"Pavlát, Leo",1950-,21132396,jk01092068,1950,,1982,,
"Pavlík, Milan",1923-,83854441,jk01092126,1923,,1955,,
"Pawlowská, Halina",1955-,37649595,jn99240000851,1955,,1993,,
"Pazourek, Vladimír",1907-1987,60107054,jk01092213,1907,1987,1935,,
"Pecháčková, Ivana",1958-,34712188,jn20001227763,1958,,1997,,
"Pechová, Jaroslava",1950-,26730672,jk01092345,1950,,1979,,
"Pecka, Karel",1928-1997,76353381,jk01092241,1928,1997,1966,,
"Pehe, Jiří",1955-,60609080,jk01092279,1955,,2002,,
"Pekárková, Iva",1963-,67323500,jn19990218083,1963,,1992,,
"Pelc, Jan",1957-,32275890,jn99240000862,1957,,1990,,
"Peroutka, Ferdinand",1895-1978,34499510,jk01092591,1895,1978,1919,,
"Pešek, Luděk",1919-1999,59905595,jk01092650,1919,1999,1946,,
"Petiška, Eduard",1924-1987,73927668,jk01092720,1924,1987,1946,,
"Petr, Daniel",1975-,84618066,mzk2005279517,1975,,2005,,
"Picek, Jan",1921-,46828690,jn99240000873,1921,,1991,,
"Pick, Jiří Robert",1925-1983,77125796,jk01092970,1925,1983,1954,,
"Pilař, František",1904-1980,169644275,jk01093049,1904,1980,1941,,
"Pilař, Jan",1917-1996,78770997,jk01093051,1917,1996,1939,,
"Pilátová, Markéta",1973-,120386794,js20051031017,1973,,2007,,
"Pithart, Petr",1941-,39436573,jn19981001982,1941,,1966,,
"Placák, Petr",1964-,7254063,jn99240000880,1964,,1990,,
"Platzová, Magdaléna",1972-,56553637,mzk2003169595,1972,,2003,,
"Pleva, Josef Věromír",1899-1985,11196637,jk01093439,1899,1985,1929,,
"Pludek, Alexej",1923-2002,10256796,jk01093504,1923,2002,1947,,
"Pluhař, Zdeněk",1913-1991,47571204,jk01093515,1913,1991,1944,,
"Plzák, Miroslav",1925-2010,53158514,jk01093524,1925,2010,1967,,
